state,currentTime,x,y,errorX,errorY,proportionalX,proportionalY,integralX,integralY,derivativeX,derivativeY,MotorAngleX,MotorAngleY,OutputX,OutputY,previousErrorX,previousErrorY,flightTime,diffTime,rbfp,x_origin,y_origin, pressure
PHASE 1,155133927,-0.625,-0.875,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,-0.011,154.8339,0,0,-1,99229.7016
PHASE 1,155166082,-0.5625,-0.4375,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,0.0212,0.0207,0,0,-1,99227.1066
PHASE 1,155196859,-0.9375,-0.625,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,0.0519,0.0196,0,0,-1,99229.3019
PHASE 1,155228736,-1.3125,-1.25,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,0.0838,0.0207,0,0,-1,99232.7315
PHASE 1,155261010,-1.5,-2,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,0.1161,0.0211,0,0,-1,99235.414
PHASE 1,155292877,-1.1875,-3.125,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,0.148,0.0196,0,0,-1,99238.7422
PHASE 1,155325755,-0.4375,-5.0625,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,0.1808,0.0207,0,0,-1,99240.3927
PHASE 1,155357656,0.3125,-6.8125,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,0.2127,0.0207,0,0,-1,99239.9583
PHASE 1,155388480,1.375,-8.875,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,0.2436,0.0196,0,0,-1,99238.2428
PHASE 1,155421499,2.5625,-11.1875,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,0.2766,0.0207,0,0,-1,99237.2585
PHASE 1,155453334,3.875,-13.6875,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,0.3084,0.0206,0,0,-1,99235.4832
PHASE 1,155485022,5.75,-17.375,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,0.3401,0.0197,0,0,-1,99234.8439
PHASE 1,155517157,7.3125,-20.375,0,0,0,0,0,0,0,0,0,0,57.9975,104.9977,0,0,0.3722,0.0209,0,0,-1,99233.4632
