0.2082
0.3200
0.0499
state,currentTime,x,y,liftoff,errorX,errorY,proportionalX,proportionalY,integralX,integralY,derivativeX,derivativeY,MotorAngleX,MotorAngleY,OutputX,OutputY,prev_errorX,prev_errorY,flightTime,dt,x_origin,y_origin, pressure, rbfp, reset
PHASE 0, 4980922.00,-21.5625,-28.3750,-3.7300,-5.0000,-5.0000,-1.0413,-1.0413,0.0000,0.0000,-0.0532,-0.0532,1.0945,-1.0945,82.7267,79.6970,-5.0000,-5.0000,0.0000,4.6809,0.0000,-1.0000,79455.7474,0,0
Liftoff: 11007990.00
PHASE 1, 11023327.00,-21.4375,-28.5000,3.5000,-5.0000,-5.0000,-1.0413,-1.0413,0.0000,0.0000,0.0000,0.0000,1.0413,-1.0413,82.5939,79.8591,-5.0000,-5.0000,0.0153,0.0300,0.0000,-1.0000,99323.4392,0,0
PHASE 1, 11065222.00,-21.1250,-28.8125,3.3900,-5.0000,-5.0000,-1.0413,-1.0413,0.0000,0.0000,0.0000,0.0000,1.0413,-1.0413,82.5939,79.8591,-5.0000,-5.0000,0.0572,0.0300,0.0000,-1.0000,99322.6790,0,0
PHASE 1, 11105835.00,-20.6875,-29.3125,3.8200,-5.0000,-5.0000,-1.0413,-1.0413,0.0000,0.0000,0.0000,0.0000,1.0413,-1.0413,82.5939,79.8591,-5.0000,-5.0000,0.0978,0.0281,0.0000,-1.0000,99322.0162,0,0
PHASE 1, 11141406.00,-20.4375,-29.6250,3.8100,-5.0000,-5.0000,-1.0413,-1.0413,0.0000,0.0000,0.0000,0.0000,1.0413,-1.0413,82.5939,79.8591,-5.0000,-5.0000,0.1334,0.0224,0.0000,-1.0000,99321.0019,0,0
PHASE 1, 11185591.00,22.3750,10.8750,4.0100,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,16.3636,16.3636,-5.0000,5.0000,67.7563,97.2903,5.0000,5.0000,0.1776,0.0305,0.0000,-1.0000,99320.9972,0,0
PHASE 1, 11226762.00,22.3750,11.0000,4.1200,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.2188,0.0287,0.0000,-1.0000,99321.1708,0,0
PHASE 1, 11263823.00,22.3750,11.0000,4.1100,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.2558,0.0246,0.0000,-1.0000,99321.4756,0,0
PHASE 1, 11305082.00,22.3125,11.0000,3.8800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.2971,0.0287,0.0000,-1.0000,99321.6847,0,0
PHASE 1, 11345709.00,22.3125,10.8750,3.9100,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.3377,0.0281,0.0000,-1.0000,99321.3633,0,0
PHASE 1, 11381736.00,22.2500,10.9375,3.9700,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.3737,0.0230,0.0000,-1.0000,99320.8932,0,0
PHASE 1, 11421967.00,22.2500,10.8125,4.0000,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.4140,0.0275,0.0000,-1.0000,99318.5323,0,0
PHASE 1, 11460057.00,22.1250,10.6875,3.2800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.4521,0.0253,0.0000,-1.0000,99317.7470,0,0
PHASE 1, 11504625.00,22.1875,10.7500,3.6900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.4966,0.0297,0.0000,-1.0000,99319.8133,0,0
PHASE 1, 11545258.00,22.3125,10.8125,4.6300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.5373,0.0282,0.0000,-1.0000,99319.4483,0,0
PHASE 1, 11587120.00,22.1875,10.8750,3.8000,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.5791,0.0294,0.0000,-1.0000,99318.7152,0,0
PHASE 2, 11629058.00,22.0625,10.9375,4.3200,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.6211,0.0279,0.0000,-1.0000,99320.2276,0,0
PHASE 2, 11671502.00,21.8125,10.3750,4.4900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.6635,0.0300,0.0000,-1.0000,99321.3657,0,0
PHASE 2, 11709575.00,21.1875,9.8125,3.8100,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.7016,0.0256,0.0000,-1.0000,99321.5743,0,0
PHASE 2, 11747124.00,20.4375,9.3750,3.3800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.7391,0.0222,0.0000,-1.0000,99321.0486,0,0
PHASE 2, 11788949.00,19.8750,8.6875,4.4500,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.7810,0.0281,0.0000,-1.0000,99321.3080,0,0
PHASE 2, 11829027.00,19.0000,7.2500,3.7800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.8210,0.0248,0.0000,-1.0000,99320.6259,0,0
PHASE 2, 11865371.00,17.8750,5.5625,2.6900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.8574,0.0239,0.0000,-1.0000,99321.2660,0,0
PHASE 2, 11906330.00,16.8125,6.5000,2.9200,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.8983,0.0285,0.0000,-1.0000,99320.7639,0,0
PHASE 2, 11947087.00,16.1250,7.6250,4.4500,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.9391,0.0283,0.0000,-1.0000,99318.4374,0,0
PHASE 2, 11982940.00,15.4375,8.3125,3.6900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,0.9750,0.0227,0.0000,-1.0000,99317.6905,0,0
PHASE 2, 12023384.00,13.8750,10.2500,-0.8300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.0154,0.0277,0.0000,-1.0000,99318.2342,0,0
PHASE 2, 12061087.00,13.1875,11.1250,2.0300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.0531,0.0250,0.0000,-1.0000,99318.7719,0,0
PHASE 2, 12105607.00,12.6875,10.6250,-0.2400,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.0976,0.0297,0.0000,-1.0000,99317.6396,0,0
PHASE 2, 12146342.00,13.3750,8.6250,1.1900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.1384,0.0282,0.0000,-1.0000,99317.0950,0,0
PHASE 2, 12188139.00,14.6250,6.8125,2.0000,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.1801,0.0293,0.0000,-1.0000,99317.2410,0,0
PHASE 2, 12225860.00,16.3750,5.5625,2.9300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.2179,0.0242,0.0000,-1.0000,99317.2801,0,0
PHASE 2, 12267852.00,18.0625,4.7500,4.8200,5.0000,4.7500,1.0413,0.9892,0.0000,0.0449,0.0000,-0.4223,-1.0413,0.6117,77.4289,84.8163,5.0000,4.7500,1.2599,0.0295,0.0000,-1.0000,99318.4227,0,0
PHASE 2, 12308611.00,19.0000,4.4375,4.8800,5.0000,4.4375,1.0413,0.9241,0.0000,0.0850,0.0000,-0.5510,-1.0413,0.4582,77.4289,84.3618,5.0000,4.4375,1.3006,0.0283,0.0000,-1.0000,99318.5261,0,0
PHASE 2, 12352375.00,19.0625,5.0625,3.5200,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.9566,-1.0413,1.9978,77.4289,88.8643,5.0000,5.0000,1.3444,0.0293,0.0000,-1.0000,99319.4994,0,0
PHASE 2, 12394512.00,18.8750,5.6875,5.5900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.3865,0.0280,0.0000,-1.0000,99319.3696,0,0
PHASE 2, 12432106.00,18.0000,6.0625,0.1600,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.4241,0.0245,0.0000,-1.0000,99318.3614,0,0
PHASE 2, 12468969.00,17.6250,6.7500,1.5800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.4610,0.0244,0.0000,-1.0000,99317.0545,0,0
PHASE 2, 12505749.00,18.0000,7.6250,1.9300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.4978,0.0243,0.0000,-1.0000,99317.4157,0,0
PHASE 2, 12546367.00,18.6250,8.3750,2.5300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.5384,0.0281,0.0000,-1.0000,99317.6984,0,0
PHASE 2, 12588455.00,19.2500,9.1250,3.2500,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.5805,0.0296,0.0000,-1.0000,99317.7454,0,0
PHASE 2, 12626221.00,19.6250,9.9375,2.7100,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.6182,0.0247,0.0000,-1.0000,99317.9653,0,0
PHASE 2, 12668355.00,20.6250,10.8125,3.2900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.6604,0.0296,0.0000,-1.0000,99318.0685,0,0
PHASE 2, 12709062.00,21.9375,11.8750,5.4400,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.7011,0.0282,0.0000,-1.0000,99317.7060,0,0
PHASE 2, 12752635.00,22.8750,12.7500,3.9700,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.7446,0.0292,0.0000,-1.0000,99316.6415,0,0
PHASE 2, 12794932.00,23.5000,13.1875,3.8200,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.7869,0.0280,0.0000,-1.0000,99316.7245,0,0
