0.2082
0.3200
0.0499
state,currentTime,x,y,liftoff,acc,errorX,errorY,proportionalX,proportionalY,integralX,integralY,derivativeX,derivativeY,MotorAngleX,MotorAngleY,OutputX,OutputY,prev_errorX,prev_errorY,flightTime,dt,x_origin,y_origin, pressure
Ground, 4041042.00,0.0000,0.6875,10.2000,10.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,3.7410,0.0000,0.0000,79455.7474
Ground, 28086205.00,0.0000,-0.6875,0.0400,9.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0279,0.0000,0.0000,98583.9371
Ground, 28128388.00,0.0000,-0.6875,0.0400,9.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0297,0.0000,0.0000,98585.6029
Ground, 28169393.00,0.0000,-0.6875,0.0100,9.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0285,0.0000,0.0000,98584.9370
Ground, 28208970.00,0.0000,-0.6875,-0.0500,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0251,0.0000,0.0000,98583.2081
Ground, 28251997.00,0.0000,-0.6875,-0.0200,9.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0291,0.0000,0.0000,98581.6050
Ground, 28292115.00,0.0000,-0.6875,0.0000,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0253,0.0000,0.0000,98581.9336
Ground, 28334294.00,0.0000,-0.6875,0.0100,9.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0275,0.0000,0.0000,98582.8564
Ground, 28378123.00,0.0000,-0.6875,-0.0100,9.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0303,0.0000,0.0000,98582.6777
Ground, 28419292.00,0.0000,-0.6875,-0.0100,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0287,0.0000,0.0000,98583.1822
Ground, 28462681.00,0.0000,-0.6875,0.0000,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0294,0.0000,0.0000,98582.0198
Ground, 28506830.00,0.0000,-0.6875,-0.0100,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0297,0.0000,0.0000,98581.5335
Ground, 28549066.00,0.0000,-0.6875,-0.0400,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0298,0.0000,0.0000,98581.1822
Ground, 28590396.00,0.0000,-0.6875,0.0100,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0279,0.0000,0.0000,98579.9698
Ground, 28631599.00,0.0000,-0.6875,-0.0100,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0261,0.0000,0.0000,98580.6723
Ground, 28675645.00,0.0000,-0.6875,0.0200,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0311,0.0000,0.0000,98580.2647
Ground, 28718717.00,0.0000,-0.6875,0.0400,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0298,0.0000,0.0000,98580.4443
